transaction_id,order_id,gross_amount,mdr_fee,gst_on_mdr,refund_adjustment,net_amount,utr_number,settlement_batch_id
61484bb3-889b-48d5-9bfd-d97eaca2b148,ad3c2d6d-1a3d-4fa7-bc89-60a923b8c1e9,3233.19,64.66,11.64,1358.02,1798.87,UTR000000516791,BATCH-0000
b7fddd71-a075-4927-9110-b492f4427e0b,815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,4471.68,89.43,16.1,2403.7,1962.45,UTR000000516791,BATCH-0000
df547e50-7cea-4045-8268-283ee32f2e63,6b65a6a4-8b81-48f6-b38a-088ca65ed389,230.03,4.6,0.83,0.0,224.6,UTR000000516791,BATCH-0000
118405ad-9e11-42cd-8930-aef68a80068d,ce4a2bbd-c241-430b-81a9-e71fde8a774b,2301.12,46.02,8.28,0.0,2246.82,UTR000000516791,BATCH-0000
ebc2026f-af34-4f65-a193-c4b23c19e71d,c37459ee-f50b-4a63-b71e-cd7b27cd8130,3520.88,70.42,12.68,0.0,3437.78,UTR000000516791,BATCH-0000
bf2c14a0-3a3c-4a71-bf57-4e2b4991ab9b,9a8dca03-580d-4b71-98f5-64135be6128e,600.83,12.02,2.16,0.0,586.65,UTR000000516791,BATCH-0000
1933918c-fa74-4761-af18-c1081723199d,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,4054.93,81.1,14.6,0.0,3959.23,UTR000000516791,BATCH-0000
df615a5c-b432-4070-a23d-4c2fc2a79689,dc98d2c1-e2ac-472f-9e57-4f7aa0ee89ae,486.12,9.72,1.75,0.0,474.65,UTR000000516791,BATCH-0000
b1aa0f6a-2a96-41e2-b194-eae219bad7ae,c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,2929.03,58.58,10.54,0.0,2859.91,UTR000000516791,BATCH-0000
0bc61066-0769-465f-a746-ccb94ca9cf07,47294739-614f-43d7-99db-3ad0ddd1dfb2,4927.59,98.55,17.74,0.0,4811.3,UTR000000516791,BATCH-0000
4b1a269b-0e5d-4462-8bd0-0ef2530a37df,ab9099a4-35a2-40ae-9af3-05535ec42e08,3214.85,64.3,11.57,0.0,3138.98,UTR000000516791,BATCH-0000
25440fe0-6e41-4d47-9ff5-95ea5bc440f1,2bcfbe01-a28d-4fe3-9bf0-027312476f57,3538.92,70.78,12.74,0.0,3455.4,UTR000000516791,BATCH-0000
90e0a95b-697c-4923-87fa-841a3e83b91f,ece66fa2-fd51-46e6-851b-4cf36123fdf7,3672.72,73.45,13.22,0.0,3586.05,UTR000000516791,BATCH-0000
2b840c67-2e18-4554-8ae2-8e66ae8a7813,c6a7ee39-c4b0-42cc-97c5-24a55304317f,3471.99,69.44,12.5,0.0,3390.05,UTR000000516791,BATCH-0000
deef580f-9c07-4751-9437-45092cd1586a,f16287e4-e9c3-49e0-b602-f8ac10f1bc81,1222.34,24.45,4.4,552.94,640.55,UTR000000516791,BATCH-0000
3da70577-aee1-486b-9ea5-56aa61ee6c5b,e27a984d-6548-41d0-bfcd-9eb1a7cad415,4394.2,87.88,15.82,0.0,4290.5,UTR000000516791,BATCH-0000
24a35cf2-9549-4931-a9af-299d7f671eec,89fa6a68-8fb5-427b-beb7-99193f22faf8,2348.37,46.97,8.45,0.0,2292.95,UTR000000516791,BATCH-0000
4104a8b5-a34d-47c5-b60d-ebbb3b70b3a1,382567b8-5cab-4c97-a63f-1c97956269f0,3760.37,75.21,13.54,0.0,3671.62,UTR000000516791,BATCH-0000
0267deb3-aab6-42c9-815d-174a75a66981,cac5b68c-28f4-4481-a0a0-4dc427209bdf,2596.68,51.93,9.35,617.21,1918.19,UTR000000516791,BATCH-0000
e6b5a92c-771a-4655-8dfc-6ee0e61ede90,8da0365b-f898-47b9-805c-acec877409a9,2168.58,43.37,7.81,1095.77,1021.63,UTR000000516791,BATCH-0000
28711733-8bed-4b12-ad77-e82f49a23a89,1c8eaee9-5715-4d6f-a416-1293c4c2e2e3,3433.39,68.67,12.36,3116.94,235.42,UTR000000516791,BATCH-0000
5876fd09-f1fa-4665-b115-33f312e89d10,b83cfe0b-e037-45ed-b8db-0672f42d47cc,2230.35,44.61,8.03,0.0,2177.71,UTR000000516791,BATCH-0000
a3917c99-4c95-4f6a-966b-1964fcd6bdca,deda4e16-1b3d-4d5c-a9a1-fa6f81f76d1c,4862.25,97.25,17.5,0.0,4747.5,UTR000000516791,BATCH-0000
40066ff2-b0b8-42ef-ac9f-82b9f6478986,5fb8d16c-2720-497d-b2eb-d6899be578c7,1562.38,31.25,5.62,0.0,1525.51,UTR000000516791,BATCH-0000
32ffe294-4d57-4880-9865-d69a74f33103,00257ad1-eb22-43dd-87c5-421eec24a3c5,891.59,17.83,3.21,0.0,870.55,UTR000000516791,BATCH-0000
7bb38605-da74-4152-a27b-41a1ffd6f232,e0c53cb8-3da9-42a9-8ed4-2f1a3d4cbf37,1688.36,33.77,6.08,1592.59,55.92,UTR000001781403,BATCH-0001
92698698-61a1-4729-bcb9-83501b4da0fe,c40db9b4-885f-4e66-82b6-d2c5fa5d3100,4740.05,94.8,17.06,2790.91,1837.28,UTR000001781403,BATCH-0001
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,8715a103-43da-4043-aa45-c2ab8cbfedb0,729.12,14.58,2.62,0.0,711.92,UTR000001781403,BATCH-0001
fa5a91ca-059d-455d-8b94-3e30b303f438,b09b2a5c-badc-432a-8159-0f538a0f4efb,2173.38,43.47,7.82,0.0,2122.09,UTR000001781403,BATCH-0001
464458b4-6553-467d-a881-bfd3d47d577b,702753a1-5f98-4c71-a65e-688eabf3ad39,3593.45,71.87,12.94,0.0,3508.64,UTR000001781403,BATCH-0001
af908e3c-dd75-4e98-90e0-b95f0212b554,969b6662-0562-4059-968c-c69b1064005c,2312.28,46.25,8.32,0.0,2257.71,UTR000001781403,BATCH-0001
0c8e29e3-f93e-48d5-bea2-9dfec73f6e1b,0f1259e0-a18f-46b6-b535-106e122c9a56,1227.56,24.55,4.42,0.0,1198.59,UTR000001781403,BATCH-0001
7f2984f5-bec3-4a37-9b3d-74bde91e314e,7c441fe7-ab42-40a7-874a-493b3ceddf2d,430.26,8.61,1.55,199.79,220.31,UTR000001781403,BATCH-0001
4944051b-e726-4e23-a776-b886d534ee1d,7900f7f9-9382-4b43-922f-e15ae1e3db63,2742.25,54.84,9.87,0.0,2677.54,UTR000001781403,BATCH-0001
9b689c88-3ae9-49fe-8c82-18dac696f5e6,a8b317fa-18d0-452b-9825-bc5430beb45f,3944.64,78.89,14.2,0.0,3851.55,UTR000001781403,BATCH-0001
a2f963a3-3810-4e66-9a31-b4cccd4b69a9,ac619e63-0dde-49a6-baa4-b71add2467ac,1836.06,36.72,6.61,0.0,1792.73,UTR000001781403,BATCH-0001
ad81f8bd-4029-43ec-9ef2-b93e30ac7d7b,3fa7f104-1bf9-4e27-9c96-925eccf3a171,4922.41,98.45,17.72,2569.98,2236.26,UTR000001781403,BATCH-0001
a8c01f05-c478-46f1-b88e-c318c16d83ed,766ecb15-474e-4c19-aef9-12766c006f61,1032.02,20.64,3.72,0.0,1007.66,UTR000001781403,BATCH-0001
a0d4de3d-2303-46c6-969d-42f1ae4c84ff,ffd0f9d5-a6f2-47b8-8cf3-5b5819108be5,4384.98,87.7,15.79,3711.53,569.96,UTR000001781403,BATCH-0001
